la,la_code,county,region,country,force,force_code,Mixed_Asian_stopped,Mixed_Asian_not_stopped,Mixed_Asian_population,Mixed_Asian_stop_rate,White_stopped,White_not_stopped,White_population,White_stop_rate,or,or_ci_low,or_ci_upp,rr,rr_ci_low,rr_ci_upp,warning,stats_altered_flag
Hartlepool,E06000001,NA,North East,England,Cleveland,E23000013,0,240,240,0,943,88069,89012,1.0594077203073742,0,0,1.4494399211990474,0,0,NA,Chi-squared approximation may be incorrect,0
Middlesbrough,E06000002,NA,North East,England,Cleveland,E23000013,14,1096,1110,1.2612612612612613,1802,116265,118067,1.5262520433313287,0.824161285240999,0.44815151062516156,1.3924907535908433,0.826378098409175,0.49006166863430417,1.393499645531267,NA,0
Redcar and Cleveland,E06000003,NA,North East,England,Cleveland,E23000013,6,454,460,1.3043478260869565,1539,131748,133287,1.154651241306354,1.131357647984049,0.4123631505092986,2.487219469272943,1.1296465802186626,0.5093794822176408,2.5052076904316376,NA,0
Stockton-on-Tees,E06000004,NA,North East,England,Cleveland,E23000013,9,1122,1131,0.7957559681697612,1957,178692,180649,1.0833162652436492,0.7324272468132048,0.333503469701885,1.3982360319903202,0.7345555436581462,0.38262624850959526,1.4101799048566417,NA,0
Darlington,E06000005,NA,North East,England,Durham,E23000008,2,514,516,0.3875968992248062,653,100534,101187,0.6453398163795744,0.5990572512985315,0.07219957889934038,2.1837303233769774,0.6006089960468678,0.15029764412420848,2.400111912827537,Chi-squared approximation may be incorrect,0
Halton,E06000006,NA,North West,England,Cheshire,E23000006,1,460,461,0.21691973969631237,827,122990,123817,0.6679212062963891,0.32331004065625957,0.008160903517061977,1.8152766062792136,0.32476845719441727,0.045791452134178255,2.303367678303369,Chi-squared approximation may be incorrect,0
Warrington,E06000007,NA,North West,England,Cheshire,E23000006,1,1203,1204,0.08305647840531562,545,196478,197023,0.27661745075448047,0.2996819102048532,0.007570168836439925,1.679889022593879,0.30025755128166054,0.04225394198874819,2.1336375461883845,Chi-squared approximation may be incorrect,0
Blackburn with Darwen,E06000008,NA,North West,England,Lancashire,E23000003,0,1329,1329,0,601,92547,93148,0.6452097736934771,0,0,0.42931239195720566,0,0,NA,NA,0
Blackpool,E06000009,NA,North West,England,Lancashire,E23000003,3,642,645,0.46511627906976744,1687,131420,133107,1.2674014139000953,0.3640541529659876,0.07479333919874032,1.0704713074572645,0.36698418825216084,0.11855445743270217,1.1359960421863302,NA,0
"Kingston upon Hull, City of",E06000010,NA,Yorkshire and The Humber,England,Humberside,E23000012,7,1165,1172,0.5972696245733788,608,243644,244252,0.24892324320783454,2.407852784750312,0.9618199691143579,5.006573834793589,2.399412834560805,1.1415517753861162,5.043294640497422,Chi-squared approximation may be incorrect,0
East Riding of Yorkshire,E06000011,NA,Yorkshire and The Humber,England,Humberside,E23000012,3,1089,1092,0.27472527472527475,547,332173,332720,0.16440250060110603,1.6728885565458793,0.34340046850866457,4.927815279358685,1.6710528959157847,0.5381196372030648,5.1892136764650045,Chi-squared approximation may be incorrect,0
North East Lincolnshire,E06000012,NA,Yorkshire and The Humber,England,Humberside,E23000012,1,501,502,0.199203187250996,612,150226,150838,0.4057333032790145,0.48996306694033454,0.012362876369599134,2.7525727592117004,0.49097075749290425,0.06918457903968284,3.4841909578562826,Chi-squared approximation may be incorrect,0
North Lincolnshire,E06000013,NA,Yorkshire and The Humber,England,Humberside,E23000012,1,716,717,0.1394700139470014,459,159199,159658,0.2874895088251137,0.4844198166918885,0.012223707391086178,2.7210866165009544,0.4851307949183082,0.06828516779535378,3.4466033514540673,Chi-squared approximation may be incorrect,0
York,E06000014,NA,Yorkshire and The Humber,England,North Yorkshire,E23000009,1,1578,1579,0.06333122229259025,74,187503,187577,0.039450465675429286,1.6056934116220902,0.04009290834812501,9.240703976594212,1.6053352275644868,0.2233069102739827,11.540624469245445,Chi-squared approximation may be incorrect,0
Derby,E06000015,NA,East Midlands,England,Derbyshire,E23000018,8,2404,2412,0.33167495854063017,438,190862,191300,0.22895974908520647,1.4500723098428439,0.6214019168845707,2.887321564859824,1.448616885132935,0.7207317644378608,2.9116114807691016,NA,0
Leicester,E06000016,NA,East Midlands,England,Leicestershire,E23000021,16,3643,3659,0.43727794479365945,1276,148085,149361,0.8543060102704187,0.5097076038060945,0.2901511770123067,0.832121825060732,0.5118516544853117,0.31295935439621586,0.8371442250218251,NA,0
Rutland,E06000017,NA,East Midlands,England,Leicestershire,E23000021,0,249,249,0,50,38755,38805,0.12884937508053088,0,0,12.00554640396711,0,0,NA,Chi-squared approximation may be incorrect,0
Nottingham,E06000018,NA,East Midlands,England,Nottinghamshire,E23000019,5,3358,3363,0.14867677668748142,902,211129,212031,0.42540949200824407,0.3484943048659592,0.1128206772658641,0.8171644401630681,0.34949097159449416,0.14521123975751243,0.8411465905120782,NA,0
"Herefordshire, County of",E06000019,NA,West Midlands,England,West Mercia,E23000016,0,689,689,0,270,180386,180656,0.149455318395182,0,0,3.611121758238276,0,0,NA,Chi-squared approximation may be incorrect,0
Telford and Wrekin,E06000020,NA,West Midlands,England,West Mercia,E23000016,5,1310,1315,0.38022813688212925,465,162783,163248,0.2848426933254925,1.3361437165371823,0.4310877358781136,3.1485012440240645,1.3348705997792223,0.5539307361296897,3.2167912013782094,Chi-squared approximation may be incorrect,0
Stoke-on-Trent,E06000021,NA,West Midlands,England,Staffordshire,E23000015,0,1783,1783,0,15,214961,214976,0.006977523072342959,0,0,33.641181031100416,0,0,NA,Chi-squared approximation may be incorrect,0
Bath and North East Somerset,E06000022,NA,South West,England,Avon and Somerset,E23000036,0,1846,1846,0,283,177736,178019,0.158971795145462,0,0,1.2645497914321493,0,0,NA,Chi-squared approximation may be incorrect,0
"Bristol, City of",E06000023,NA,South West,England,Avon and Somerset,E23000036,14,5542,5556,0.25197984161267095,1179,380724,381903,0.30871713497930103,0.8157519423159081,0.4443005117449153,1.37538577403449,0.8162159241001178,0.4822302470766227,1.381515238401779,NA,0
South Gloucestershire,E06000025,NA,South West,England,Avon and Somerset,E23000036,3,1950,1953,0.15360983102918588,292,263748,264040,0.11058930465081049,1.3895789191092296,0.28465803869075323,4.107310593433291,1.3890116364707616,0.4457843489703317,4.327997002827902,Chi-squared approximation may be incorrect,0
Torbay,E06000027,NA,South West,England,Devon & Cornwall,E23000035,0,679,679,0,806,132997,133803,0.6023781230615157,0,0,0.9009505043566318,0,0,NA,Chi-squared approximation may be incorrect,0
Swindon,E06000030,NA,South West,England,Wiltshire,E23000038,5,1689,1694,0.29515938606847697,163,189265,189428,0.08604852503325802,3.4372882198833117,1.099910613128773,8.201068615658784,3.4301504407472057,1.410615346398079,8.340992515218163,Chi-squared approximation may be incorrect,0
